央卫,#genre#
非凡新闻,http://8.210.207.87/tbs.php?id=5fo9vs39tw
壹新闻,http://8.210.207.87/tbs.php?id=BWTEwQ14D3
东森戏剧,http://8.210.207.87/tbs.php?id=5eqXaurVnf
HBO,http://8.210.207.87/tbs.php?id=8G9BmWfoyn
天映频道(粤语),http://8.210.207.87/tbs.php?id=7ee9OMbqvB
天映频道(国语),http://8.210.207.87/tbs.php?id=lxcKnE7w1a
Thrill,http://8.210.207.87/tbs.php?id=ANj2Dd511s
华艺综合,http://8.210.207.87/tbs.php?id=8NJpzLByid
ELTA影剧,http://8.210.207.87/tbs.php?id=bJx2FlxNdZ
东森电影,http://8.210.207.87/tbs.php?id=frwTClSDcN
东森洋片,http://8.210.207.87/tbs.php?id=Fo1VSd4sZF
东森戏剧,http://8.210.207.87/tbs.php?id=yPCV21bPaW
龙祥时代,http://8.210.207.87/tbs.php?id=oanvychmTO
AXN,http://8.210.207.87/tbs.php?id=ZsoL7CU3cf
龙华电影,http://8.210.207.87/tbs.php?id=2pZkI8dJTm
探索频道,http://8.210.207.87/tbs.php?id=ydIcIUpy1J
好莱坞电影,http://8.210.207.87/tbs.php?id=KuRVPC3qEp
CINEMAX,http://8.210.207.87/tbs.php?id=AmkvL3ynew
ELEVEN体育1台,http://8.210.207.87/tbs.php?id=uLX4g2tSkG
ELTA体育 1,http://8.210.207.87/tbs.php?id=VVaj4qt9WF
ELTA体育 3,http://8.210.207.87/tbs.php?id=YR5OYEgfhN
ELTA体育 4,http://8.210.207.87/tbs.php?id=MZ8fjXXw4q
博斯高球1,http://8.210.207.87/tbs.php?id=jg5OB8e8Mz
博斯高球2,http://8.210.207.87/tbs.php?id=FaD9Xr1yYo
龙华戏剧,http://8.210.207.87/tbs.php?id=R1LWZF8ALG
龙华洋片,http://8.210.207.87/tbs.php?id=DnQxHrZegG
HBO Hits,http://8.210.207.87/tbs.php?id=6U6Qx1afRt
镜新闻,http://8.210.207.87/tbs.php?id=Uaa8WksdKU
LIVE三立,http://8.210.207.87/tbs.php?id=ZdWcDL9ic3
HBO Signature,http://8.210.207.87/tbs.php?id=ykZS0jRn2P
动物星球,http://8.210.207.87/tbs.php?id=mCdz1N8prQ
HBO Family,http://8.210.207.87/tbs.php?id=4OdVylBZOe

加減看,#genre#
台视,http://888.iptv543.com/smt.php?id=ttv_taiwan
华视,http://888.iptv543.com/smt.php?id=ctshd_twn
中视 HD,http://888.iptv543.com/smt.php?id=zhongshihd_twn
中视经典,http://888.iptv543.com/smt.php?id=zhongshi_twn
公视,http://888.iptv543.com/smt.php?id=ctv_taiwan
民视 HD,http://888.iptv543.com/smt.php?id=ftvhd_taiwan
民视新闻台,http://888.iptv543.com/smt.php?id=ftvnew_taiwan
民视台湾台,http://888.iptv543.com/smt.php?id=ftvtaiwan_twn
民视第一台,http://888.iptv543.com/smt.php?id=lunghuajingdian_twn
非凡新闻,http://888.iptv543.com/smt.php?id=feifannews_twn
年代新闻台,http://888.iptv543.com/smt.php?id=niandainews_twn
三立台湾,http://888.iptv543.com/smt.php?id=sanlitaiwan
三立戏剧台,http://888.iptv543.com/smt.php?id=sanlixiju_twn
中天综合,http://888.iptv543.com/smt.php?id=ctizhonghe
中天娱乐,http://888.iptv543.com/smt.php?id=ctient
中天新闻,http://888.iptv543.com/smt.php?id=ctinews
TVBS,http://888.iptv543.com/smt.php?id=tvbs
TVBS新闻台,http://888.iptv543.com/smt.php?id=tvbs_n
TVBS欢乐台,http://888.iptv543.com/smt.php?id=tvbshuanle_twn
八大第一台,http://888.iptv543.com/smt.php?id=badafirst
八大综合台,http://888.iptv543.com/smt.php?id=badazhonghe
八大戏剧台,http://888.iptv543.com/smt.php?id=badadrama
纬来日本台,http://888.iptv543.com/smt.php?id=videolandjapan
纬来体育,http://888.iptv543.com/smt.php?id=videolandsport
纬来电影,http://888.iptv543.com/smt.php?id=videolandmovie
龙华戏剧,http://888.iptv543.com/smt.php?id=lunghuaxiju_twn
龙华偶像,http://888.iptv543.com/smt.php?id=lunghuaidol_twn
龙华洋片,http://888.iptv543.com/smt.php?id=lunghuawestern_twn
龙祥电影台,http://888.iptv543.com/smt.php?id=cb7a1fec69
龙祥电影台,http://888.iptv543.com/smt.php?id=lungxiangtime_twn
好莱坞电影台,http://888.iptv543.com/smt.php?id=hollywoodmovies_twn
東森LIVE,http://888.iptv543.com/smt.php?id=ettvnews
東森戏剧,http://888.iptv543.com/smt.php?id=ettvdrama
東森电影台,http://888.iptv543.com/smt.php?id=ettvmovie
东森财经新闻,http://888.iptv543.com/smt.php?id=ettvcaijing_twn
东森洋片,http://888.iptv543.com/smt.php?id=ettvwestern
东森超视,http://888.iptv543.com/smt.php?id=ettvsuper
东森综合台,http://888.iptv543.com/smt.php?id=ettvzhonghe
靖天卡通,http://888.iptv543.com/smt.php?id=jingtiancartoon_twn
靖天国际台,http://888.iptv543.com/smt.php?id=jingtianintl_twn
HBO HITS,http://888.iptv543.com/smt.php?id=hbohead_twn
HBO-原创,http://888.iptv543.com/smt.php?id=hbosignature_twn
HBO家庭,http://888.iptv543.com/smt.php?id=fyi_twn
HBO_HD,http://888.iptv543.com/smt.php?id=hbohd_twn
动物星球,http://888.iptv543.com/smt.php?id=animalplanet_twn
HGTV,http://888.iptv543.com/smt.php?id=hgtv_twn
HGTV,http://888.iptv543.com/smt.php?id=HGTV
探索频道,http://888.iptv543.com/smt.php?id=ba86fcd935
探索频道,http://888.iptv543.com/smt.php?id=discoveryhd_twn
探索,http://888.iptv543.com/smt.php?id=discoverych_twn
探索亚洲,http://888.iptv543.com/smt.php?id=discoverytwn_twn
