臺灣 Taiwan,#genre#
Discovery Asia,http://wanjiatv.net/Smart.php?id=discoverytwn_twn
Discovery HD,http://wanjiatv.net/Smart.php?id=discoveryhd_twn
東森戲劇,http://wanjiatv.net/Smart.php?id=ettvdrama
東森洋片,http://wanjiatv.net/Smart.php?id=ettvwestern
東森綜合,http://wanjiatv.net/Smart.php?id=ettvzhonghe
東森財經新聞,http://wanjiatv.net/Smart.php?id=ettvcaijing_twn
東森電影,http://wanjiatv.net/Smart.php?id=ettvmovie
緯來日本台,http://wanjiatv.net/Smart.php?id=videolandjapan
緯來體育台,http://wanjiatv.net/Smart.php?id=videolandsport
美亞電影,http://wanjiatv.net/Smart.php?id=meiyamovie_twn
BBC World News,http://wanjiatv.net/Smart.php?id=bbcnews_twn
Bloomberg News,http://wanjiatv.net/Smart.php?id=bloomberg_twn
Fox News,http://wanjiatv.net/Smart.php?id=foxnews_twn
阿里郎,http://wanjiatv.net/Smart.php?id=arirang_twn
CN卡通,http://wanjiatv.net/Smart.php?id=momo1_twn
靖天卡通台,http://wanjiatv.net/Smart.php?id=jingtiancartoon_twn
靖天國際台,http://wanjiatv.net/Smart.php?id=jingtianintl_twn
非凡新聞台,http://wanjiatv.net/Smart.php?id=feifannews_twn
龍祥時代,http://wanjiatv.net/Smart.php?id=lungxiangtime_twn
龍華偶像,http://wanjiatv.net/Smart.php?id=lunghuaidol_twn
龍華戲劇,http://wanjiatv.net/Smart.php?id=lunghuaxiju_twn
龍華洋片,http://wanjiatv.net/Smart.php?id=lunghuawestern_twn
龍華經典,http://wanjiatv.net/Smart.php?id=lunghuajingdian_twn
龍華電影,http://wanjiatv.net/Smart.php?id=xingwei_movie
馬來西亞 Malaysia,#genre#
TV1,http://wanjiatv.net/Smart.php?id=TV1
TV1(備用),http://wanjiatv.net/Smart.php?id=TV1_backup
TV2,http://wanjiatv.net/Smart.php?id=TV2
TV3,http://wanjiatv.net/Smart.php?id=TV3
TV3(備用),http://wanjiatv.net/Smart.php?id=tv3_twn
NTV7,http://wanjiatv.net/Smart.php?id=NTV7
TV8,http://wanjiatv.net/Smart.php?id=TV8
TV9,http://wanjiatv.net/Smart.php?id=TV9
Warna,http://wanjiatv.net/Smart.php?id=Warna-O
Warna(備用),http://wanjiatv.net/Smart.php?id=Warna
Ria,http://wanjiatv.net/Smart.php?id=Ria-0
Ria(備用),http://wanjiatv.net/Smart.php?id=Ria49
Ria-3,http://wanjiatv.net/Smart.php?id=Ria_quanjia
Al-Hijrah,http://wanjiatv.net/Smart.php?id=Alhijrah
Al-Hijrah(備用),http://wanjiatv.net/Smart.php?id=Alhijrah_backup
Awani,http://wanjiatv.net/Smart.php?id=Awani
Bernama,http://wanjiatv.net/Smart.php?id=Bernama
Prima,http://wanjiatv.net/Smart.php?id=Prima-0
Prima(備用),http://wanjiatv.net/Smart.php?id=Prima49
Ceria,http://wanjiatv.net/Smart.php?id=Ceria
Astro MTV,http://wanjiatv.net/Smart.php?id=AstroMTV
Mecca Live HD,http://wanjiatv.net/Smart.php?id=quran_mido
Madinah HD,http://wanjiatv.net/Smart.php?id=sunnah_mido
Oasis,http://wanjiatv.net/Smart.php?id=Oasis
HBO HD,http://wanjiatv.net/Smart.php?id=Hbo
HBO Signature,http://wanjiatv.net/Smart.php?id=Hbosignature
HBO Hits,http://wanjiatv.net/Smart.php?id=Hbohits
NatGeo Wild HD,http://wanjiatv.net/Smart.php?id=Natgeowild
Cartoon Network,http://wanjiatv.net/Smart.php?id=Cn
Nickelodeon,http://wanjiatv.net/Smart.php?id=Nickelodeon
Nick Jr,http://wanjiatv.net/Smart.php?id=Nickjr
Citra,http://wanjiatv.net/Smart.php?id=Citra
Sensasi,http://wanjiatv.net/Smart.php?id=Sensasi
Aura,http://wanjiatv.net/Smart.php?id=Aura
Rania,http://wanjiatv.net/Smart.php?id=Rania
Boo,http://wanjiatv.net/Smart.php?id=Boo
Awesome TV,http://wanjiatv.net/Smart.php?id=Awesome_mega
Sony HD,http://wanjiatv.net/Smart.php?id=SetOne
KBS World,http://wanjiatv.net/Smart.php?id=KBS
TvN,http://wanjiatv.net/Smart.php?id=TVN
Astro Premier,http://wanjiatv.net/Smart.php?id=Astropremier
AEC,http://wanjiatv.net/Smart.php?id=AEC
華麗台 HD,http://wanjiatv.net/Smart.php?id=Wlt
歡喜台 HD,http://wanjiatv.net/Smart.php?id=Huahee
歡喜台(備用),http://wanjiatv.net/Smart.php?id=Huahee_backup
Astro QJ,http://wanjiatv.net/Smart.php?id=Quanjia
TVB Jade,http://wanjiatv.net/Smart.php?id=Tvbjade
TVBS Asia,http://wanjiatv.net/Smart.php?id=Tvbasia
TVB Entertainment,http://wanjiatv.net/Smart.php?id=Tvbentertainment
TVB Classic,http://wanjiatv.net/Smart.php?id=Tvbclassic
AOD,http://wanjiatv.net/Smart.php?id=AodHD
One,http://wanjiatv.net/Smart.php?id=One_mega
TVB 星河台,http://wanjiatv.net/Smart.php?id=Xinhe
愛奇藝,http://wanjiatv.net/Smart.php?id=Qiyi
Animal Planet (Eng),http://wanjiatv.net/Smart.php?id=AnimalPlanet
tvN Movie,http://wanjiatv.net/Smart.php?id=Tvnmovie
CNN(備用),http://wanjiatv.net/Smart.php?id=cnn_twn
Celestial Classic,http://wanjiatv.net/Smart.php?id=Celestial2
CNBC,http://wanjiatv.net/Smart.php?id=cnbc_twn
RTM Sports HD,http://wanjiatv.net/Smart.php?id=Rtmsport
TLC,http://wanjiatv.net/Smart.php?id=Tlc
CNA,http://wanjiatv.net/Smart.php?id=cna
AFC 亞洲旅遊台,http://wanjiatv.net/Smart.php?id=asiatravel_twn
BBC World News,http://wanjiatv.net/Smart.php?id=bbcnews_twn
Foodnetwork Hd,http://wanjiatv.net/Smart.php?id=Foodnetwork_mega
HGTV,http://wanjiatv.net/Smart.php?id=HGTV
Arena,http://wanjiatv.net/Smart.php?id=Arena
Goshop,http://wanjiatv.net/Smart.php?id=Goshop
Celestial Movies HD,http://wanjiatv.net/Smart.php?id=Celestial_mega
Arena 2,http://wanjiatv.net/Smart.php?id=Arena2
Axn HD,http://wanjiatv.net/Smart.php?id=Axn
Paramount Network,http://wanjiatv.net/Smart.php?id=Paramountnetwork
BolaArena 1,http://wanjiatv.net/Smart.php?id=Bolaarena1
Astrol Kplus,http://wanjiatv.net/Smart.php?id=Kplus
Rock Actions,http://wanjiatv.net/Smart.php?id=Rockaction
Bloomberg News,http://wanjiatv.net/Smart.php?id=bloomberg_twn
Al-Jazeera,http://wanjiatv.net/Smart.php?id=aljazeera_twn
Rock Entertainment,http://wanjiatv.net/Smart.php?id=Rockentertain
Showcase,http://wanjiatv.net/Smart.php?id=Showcase_mega
BolaArena 2,http://wanjiatv.net/Smart.php?id=Bolaarena2
新加坡 Singapore,#genre#
Channel 5,http://wanjiatv.net/Smart.php?id=Channel5HD
Channel 5(備用),http://wanjiatv.net/Smart.php?id=Ch5_mega
Channel 8,http://wanjiatv.net/Smart.php?id=Channel8HD
Channel 8(備用),http://wanjiatv.net/Smart.php?id=Ch8_mega
Suria,http://wanjiatv.net/Smart.php?id=Suria
Suria(備用),http://wanjiatv.net/Smart.php?id=Suria_backup
Channel U,http://wanjiatv.net/Smart.php?id=ChannelU
Channel U(備用),http://wanjiatv.net/Smart.php?id=ChU_mega
Vasantham,http://wanjiatv.net/Smart.php?id=Vasantham
Vasantham(備用),http://wanjiatv.net/Smart.php?id=Vasantham_mega
CNA,http://wanjiatv.net/Smart.php?id=cna
CNA(備用),http://wanjiatv.net/Smart.php?id=cna_twn
印尼 Indonesia,#genre#
TVRI National,http://wanjiatv.net/Smart.php?id=TVRI
RCTI,http://wanjiatv.net/Smart.php?id=Rcti
Kompass TV,http://wanjiatv.net/Smart.php?id=Kompass
Berita Satu,http://wanjiatv.net/Smart.php?id=BeritaSatu_eko
Indosiar HD,http://wanjiatv.net/Smart.php?id=Indosiar
AnTV,http://wanjiatv.net/Smart.php?id=Antv
MNC TV,http://wanjiatv.net/Smart.php?id=Mnctv
Trans 7,http://wanjiatv.net/Smart.php?id=Trans7_eko
Transtv,http://wanjiatv.net/Smart.php?id=Transtv
JTV,http://wanjiatv.net/Smart.php?id=JTV_eko
Metro TV,http://wanjiatv.net/Smart.php?id=metrotv_eko
Cinemax,http://wanjiatv.net/Smart.php?id=Cinemax
SCTV,http://wanjiatv.net/Smart.php?id=SCTV
Tvone,http://wanjiatv.net/Smart.php?id=Tvone
TVMU,http://wanjiatv.net/Smart.php?id=TVMU_eko
GTV,http://wanjiatv.net/Smart.php?id=Gtv
RTV,http://wanjiatv.net/Smart.php?id=Rtv
Jak TV,http://wanjiatv.net/Smart.php?id=JakTV
iNews TV,http://wanjiatv.net/Smart.php?id=Inewstv
Daai TV,http://wanjiatv.net/Smart.php?id=DaaiTV
Net TV,http://wanjiatv.net/Smart.php?id=NetTV
Animax,http://wanjiatv.net/Smart.php?id=Animax
EWTN,http://wanjiatv.net/Smart.php?id=Ewtn
AlQuran AlKareem,http://wanjiatv.net/Smart.php?id=AlQuran
Tawaf TV,http://wanjiatv.net/Smart.php?id=TawafTV
Vision Prime,http://wanjiatv.net/Smart.php?id=VisionPrime
Muslim TV,http://wanjiatv.net/Smart.php?id=MuslimTV
Music TV,http://wanjiatv.net/Smart.php?id=MusicTV
Lifestyle&Fashion,http://wanjiatv.net/Smart.php?id=Lifestyle
Entertain,http://wanjiatv.net/Smart.php?id=Entertain
Hits,http://wanjiatv.net/Smart.php?id=Hits
Warner TV,http://wanjiatv.net/Smart.php?id=WarnerTV
SCM,http://wanjiatv.net/Smart.php?id=Weishimovie
Thrill,http://wanjiatv.net/Smart.php?id=Thrill
Fight Sports,http://wanjiatv.net/Smart.php?id=Fs
Beinsports 2 HD,http://wanjiatv.net/Smart.php?id=Bein2hd
Hits Movie,http://wanjiatv.net/Smart.php?id=Hitsmovie
One,http://wanjiatv.net/Smart.php?id=One_mega
tvN Movie,http://wanjiatv.net/Smart.php?id=Tvnmovie
Celestial Movies HD,http://wanjiatv.net/Smart.php?id=Celestialindo
Rock Actions,http://wanjiatv.net/Smart.php?id=Rockaction
Rock Entertainment,http://wanjiatv.net/Smart.php?id=Rockentertain
香港 Hongkong,#genre#
J2(備用),http://wanjiatv.net/Smart.php?id=j2_hkdavid
J2,http://wanjiatv.net/Smart.php?id=j2_twn
RHK 31,http://wanjiatv.net/Smart.php?id=rhk31_twn
RHK 32,http://wanjiatv.net/Smart.php?id=rhk32_twn
TVB 星河,http://wanjiatv.net/Smart.php?id=tvbxinhe_twn
VIUTV1,http://wanjiatv.net/Smart.php?id=viu1_twn
Viu TV 69,http://wanjiatv.net/Smart.php?id=viutv69_hkdavid
Viu6,http://wanjiatv.net/Smart.php?id=viusix_twn
iNews 新聞台,http://wanjiatv.net/Smart.php?id=inews_twn
無線財經資訊台,http://wanjiatv.net/Smart.php?id=tvbcaijing_twn
珍珠台(備用),http://wanjiatv.net/Smart.php?id=pearl_hkdavid
珍珠台,http://wanjiatv.net/Smart.php?id=pearl_twn
翡翠台(備用),http://wanjiatv.net/Smart.php?id=jade_mike
翡翠台,http://wanjiatv.net/Smart.php?id=jade_twn
鳳凰衛視,http://wanjiatv.net/Smart.php?id=phoenixtv_hd
鳳凰資訊,http://wanjiatv.net/Smart.php?id=phoenixinfo_hd
鳳凰香港,http://wanjiatv.net/Smart.php?id=hkphoenix_twn
中國 China,#genre#
CCTV-1,http://wanjiatv.net/Smart.php?id=cctv1
CCTV-2,http://wanjiatv.net/Smart.php?id=cctv2
CCTV-3,http://wanjiatv.net/Smart.php?id=cctv3
CCTV-4,http://wanjiatv.net/Smart.php?id=cctv4
CCTV-4 ,http://wanjiatv.net/Smart.php?id=Cctv4
CCTV-5,http://wanjiatv.net/Smart.php?id=cctv5
CCTV-5+,http://wanjiatv.net/Smart.php?id=cctv5plus
CCTV-6,http://wanjiatv.net/Smart.php?id=cctv6
CCTV-7,http://wanjiatv.net/Smart.php?id=cctv7
CCTV-8,http://wanjiatv.net/Smart.php?id=cctv8hd
CCTV-9,http://wanjiatv.net/Smart.php?id=cctv9hd
CCTV-10,http://wanjiatv.net/Smart.php?id=cctv10hd
CCTV-11,http://wanjiatv.net/Smart.php?id=cctv11
CCTV-12,http://wanjiatv.net/Smart.php?id=cctv12
CCTV-13,http://wanjiatv.net/Smart.php?id=cctv13
CCTV-14,http://wanjiatv.net/Smart.php?id=cctv14
CCTV-15,http://wanjiatv.net/Smart.php?id=cctv15
CCTV-16,http://wanjiatv.net/Smart.php?id=cctv16
CCTV-17,http://wanjiatv.net/Smart.php?id=cctv17
湖南衛視,http://wanjiatv.net/Smart.php?id=hunan_twn
江蘇衛視,http://wanjiatv.net/Smart.php?id=jiangsu_twn
深圳衛視,http://wanjiatv.net/Smart.php?id=shenzhen
大灣區衛視,http://wanjiatv.net/Smart.php?id=nanfang_twn
廣東衛視,http://wanjiatv.net/Smart.php?id=guangdongweishi_twn
北京衛視,http://wanjiatv.net/Smart.php?id=beijing
廣東珠江,http://wanjiatv.net/Smart.php?id=zhujiang
廣西衛視,http://wanjiatv.net/Smart.php?id=guangxi
湖北衛視,http://wanjiatv.net/Smart.php?id=hubei
四川衛視,http://wanjiatv.net/Smart.php?id=sichuan_twn
鳳凰衛視,http://wanjiatv.net/Smart.php?id=phoenixtv_hd
東方衛視,http://wanjiatv.net/Smart.php?id=dongfangweishi_twn
CGTN,http://wanjiatv.net/Smart.php?id=CGTN
鳳凰資訊,http://wanjiatv.net/Smart.php?id=phoenixinfo_hd
體育 Sports,#genre#
Supersports 1,http://wanjiatv.net/Smart.php?id=Assp1
Supersports 1(備用),http://wanjiatv.net/Smart.php?id=go_assp1
Supersportq 1(備用2),http://wanjiatv.net/Smart.php?id=Assp1_mega
Supersports 2,http://wanjiatv.net/Smart.php?id=Assp2
Supersports 2(備用),http://wanjiatv.net/Smart.php?id=go_assp2
Supersports 3,http://wanjiatv.net/Smart.php?id=Assp3
Supersports 3(備用),http://wanjiatv.net/Smart.php?id=go_assp3
Supersports 3(備用2),http://wanjiatv.net/Smart.php?id=Assp3_mega
Supersports 4,http://wanjiatv.net/Smart.php?id=Assp4_mega
Supersports 4(備用),http://wanjiatv.net/Smart.php?id=go_assp4
Supersports 5,http://wanjiatv.net/Smart.php?id=go_assp5
Bein 2HD,http://wanjiatv.net/Smart.php?id=Beinhd
Beinsports HD,http://wanjiatv.net/Smart.php?id=Besports
Champion 5 EPL,http://wanjiatv.net/Smart.php?id=Champion5epl
WWE,http://wanjiatv.net/Smart.php?id=Wwe
Champion 6 EPL,http://wanjiatv.net/Smart.php?id=Champion6epl
Fight Sports,http://wanjiatv.net/Smart.php?id=Fs
UFC Network,http://wanjiatv.net/Smart.php?id=ufc_mega
NBA TV,http://wanjiatv.net/Smart.php?id=nbatv_twn
Astro Cricket,http://wanjiatv.net/Smart.php?id=Acricket_mega
Astro Golf,http://wanjiatv.net/Smart.php?id=Agolf
TNT Sports 1,http://wanjiatv.net/Smart.php?id=beeone
TNT Sports 2,http://wanjiatv.net/Smart.php?id=beetwo
TNT Sports 3,http://wanjiatv.net/Smart.php?id=beethree
TNT Sports 4,http://wanjiatv.net/Smart.php?id=beefour
Sony Ten 1,http://wanjiatv.net/Smart.php?id=ten1_raj
Sony Ten 2,http://wanjiatv.net/Smart.php?id=ten2_raj
Sony Ten 3,http://wanjiatv.net/Smart.php?id=ten3_raj
SPOTV 1 HD,http://wanjiatv.net/Smart.php?id=go_spotv
SPO TV 2,http://wanjiatv.net/Smart.php?id=go_spotv2
Beinsports 2 HD,http://wanjiatv.net/Smart.php?id=Bein2hd
Skysports Arena,http://wanjiatv.net/Smart.php?id=tiankongarena
Skysports F1,http://wanjiatv.net/Smart.php?id=tiankongf1
Skysports Cricket,http://wanjiatv.net/Smart.php?id=tiankongcricket
Skysports EPL,http://wanjiatv.net/Smart.php?id=tiankongepl
Skysports Football,http://wanjiatv.net/Smart.php?id=tiankongfootball
Skysports Golf,http://wanjiatv.net/Smart.php?id=tiankonggolf
Skysports Main Event,http://wanjiatv.net/Smart.php?id=tiankongmain
Skysports News,http://wanjiatv.net/Smart.php?id=tiankongnews
Skysports NFL,http://wanjiatv.net/Smart.php?id=tiankongnfl
Skysports Racing,http://wanjiatv.net/Smart.php?id=tiankongracing
Skysports Mix,http://wanjiatv.net/Smart.php?id=tiankongmix
CCTV-5,http://wanjiatv.net/Smart.php?id=cctv5
CCTV-5+,http://wanjiatv.net/Smart.php?id=cctv5plus
愛爾達體育2台,http://wanjiatv.net/Smart.php?id=eltasport2_twn
愛爾達體育3台,http://wanjiatv.net/Smart.php?id=eltasport3_twn
RTM Sports HD,http://wanjiatv.net/Smart.php?id=Rtmsport
Arena,http://wanjiatv.net/Smart.php?id=Arena
Arena 2,http://wanjiatv.net/Smart.php?id=Arena2
BolaArena 1,http://wanjiatv.net/Smart.php?id=Bolaarena1
Bein 1 Sports,http://wanjiatv.net/Smart.php?id=bein1_mega
Bein 2 Sports,http://wanjiatv.net/Smart.php?id=bein2_mega
Bein 3 Sports,http://wanjiatv.net/Smart.php?id=bein3_mega
Bein 4 Sports,http://wanjiatv.net/Smart.php?id=bein4_mega
Bein 5 Sports,http://wanjiatv.net/Smart.php?id=bein5_mega
Bein 6 Sports,http://wanjiatv.net/Smart.php?id=bein6_mega
Bein 7 Sports,http://wanjiatv.net/Smart.php?id=bein7_mega
Rugby Pass TV,http://wanjiatv.net/Smart.php?id=Rugbypasstv
BolaArena 2,http://wanjiatv.net/Smart.php?id=Bolaarena2
印度 Indian,#genre#
Sun TV HD,http://wanjiatv.net/Smart.php?id=Suntv
Star Vijay,http://wanjiatv.net/Smart.php?id=Starvijay
Colors Tamil,http://wanjiatv.net/Smart.php?id=Colorstam_mega
Sun Music,http://wanjiatv.net/Smart.php?id=Sunmusic
Astro Sunlife,http://wanjiatv.net/Smart.php?id=Sunlife
Astro Vaanavil,http://wanjiatv.net/Smart.php?id=Vaanavil
Zee Tamil,http://wanjiatv.net/Smart.php?id=Zeetamil
Zee Business,http://wanjiatv.net/Smart.php?id=Zeebusiness
News 18 Tamil,http://wanjiatv.net/Smart.php?id=news18tamil_raj
Adithya,http://wanjiatv.net/Smart.php?id=Adithya
Makkal TV,http://wanjiatv.net/Smart.php?id=Makkaltv
Zee Action,http://wanjiatv.net/Smart.php?id=Zeeaction
Astro KTV,http://wanjiatv.net/Smart.php?id=Astroktv
Zee TV HD,http://wanjiatv.net/Smart.php?id=Zeetvhd
Zee Cinema HD,http://wanjiatv.net/Smart.php?id=Zeecinemahd
Color HD,http://wanjiatv.net/Smart.php?id=Colorhd
Starplus HD,http://wanjiatv.net/Smart.php?id=Starplushd
Picture HD,http://wanjiatv.net/Smart.php?id=Npicture
Zee News,http://wanjiatv.net/Smart.php?id=Zeenews
Asianet,http://wanjiatv.net/Smart.php?id=asianet_raj
Asianet News,http://wanjiatv.net/Smart.php?id=asianetnews_raj
Times Now,http://wanjiatv.net/Smart.php?id=timesnow_mega
BBC Earth Tamil,http://wanjiatv.net/Smart.php?id=bbcearthtam_raj
Discovery World Tamil,http://wanjiatv.net/Smart.php?id=discoveryworldtam_raj
History Tamil,http://wanjiatv.net/Smart.php?id=historytam_raj
NatGeo Tamil,http://wanjiatv.net/Smart.php?id=natgeotamil_raj
Natgeo Wild Tamil,http://wanjiatv.net/Smart.php?id=natgeowildtamil_raj
Discovery Kids Tamil,http://wanjiatv.net/Smart.php?id=discoverykidtamil_raj
Discovery Tamil,http://wanjiatv.net/Smart.php?id=discoverytamil_raj
Sony Yay Tamil,http://wanjiatv.net/Smart.php?id=sonyyaytam_raj
Sun TV India,http://wanjiatv.net/Smart.php?id=suntv_raj
Starmaa HD,http://wanjiatv.net/Smart.php?id=starmaa_raj
Starmaa Movies HD,http://wanjiatv.net/Smart.php?id=starmaamovies_raj
Bollyone,http://wanjiatv.net/Smart.php?id=Bollyone
Astro Sunmusic,http://wanjiatv.net/Smart.php?id=Sunmusic
Sony Pix HD,http://wanjiatv.net/Smart.php?id=sonypix_mega
Vijay Super,http://wanjiatv.net/Smart.php?id=vijaysuper_raj
電影 Movie,#genre#
AXN,http://wanjiatv.net/Smart.php?id=axn_twn
Animax,http://wanjiatv.net/Smart.php?id=Animax
Astrol Kplus,http://wanjiatv.net/Smart.php?id=Kplus
Axn HD,http://wanjiatv.net/Smart.php?id=Axn
CCTV-6,http://wanjiatv.net/Smart.php?id=cctv6
CINEMAX,http://wanjiatv.net/Smart.php?id=cinemax_twn
Celestial Classic,http://wanjiatv.net/Smart.php?id=Celestial2
Celestial Movies HD,http://wanjiatv.net/Smart.php?id=Celestialindo
Cinemax,http://wanjiatv.net/Smart.php?id=Cinemax
HBO Family,http://wanjiatv.net/Smart.php?id=Hbofamily
HBO HD,http://wanjiatv.net/Smart.php?id=Hbo
HBO Hits,http://wanjiatv.net/Smart.php?id=Hbohits
HBO Signature,http://wanjiatv.net/Smart.php?id=Hbosignature
HBO_HD,http://wanjiatv.net/Smart.php?id=hbohd_twn
HBO_HITS,http://wanjiatv.net/Smart.php?id=hbohits_twn
Hits Movie,http://wanjiatv.net/Smart.php?id=Hitsmovie
Hits,http://wanjiatv.net/Smart.php?id=Hits
Hollywood Movies,http://wanjiatv.net/Smart.php?id=hollywoodmovies_twn
Movies Now HD,http://wanjiatv.net/Smart.php?id=moviesnow_raj
One,http://wanjiatv.net/Smart.php?id=One_mega
Paramount Network,http://wanjiatv.net/Smart.php?id=Paramountnetwork
Rock Actions,http://wanjiatv.net/Smart.php?id=Rockaction
Rock Entertainment,http://wanjiatv.net/Smart.php?id=Rockentertain
SCM,http://wanjiatv.net/Smart.php?id=Weishimovie
Sony Pix HD,http://wanjiatv.net/Smart.php?id=sonypix_mega
Star Movies HD,http://wanjiatv.net/Smart.php?id=starmovies_raj
Thrill,http://wanjiatv.net/Smart.php?id=Thrill
Warner TV,http://wanjiatv.net/Smart.php?id=WarnerTV
tvN Movie,http://wanjiatv.net/Smart.php?id=Tvnmovie
大愛2台,http://wanjiatv.net/Smart.php?id=catchplay_twn
龍華電影,http://wanjiatv.net/Smart.php?id=xingwei_movie
東森洋片,http://wanjiatv.net/Smart.php?id=ettvwestern
東森電影,http://wanjiatv.net/Smart.php?id=ettvmovie
美亞電影,http://wanjiatv.net/Smart.php?id=meiyamovie_twn
龍華洋片,http://wanjiatv.net/Smart.php?id=lunghuawestern_twn
龍祥时代,http://wanjiatv.net/Smart.php?id=lungxiangtime_twn
紀錄 Documentary,#genre#
AFC 亞洲旅遊台,http://wanjiatv.net/Smart.php?id=asiatravel_twn
Animal Planet (Eng),http://wanjiatv.net/Smart.php?id=AnimalPlanet
Animal_Planet,http://wanjiatv.net/Smart.php?id=animalplanet_twn
Asia Travel,http://wanjiatv.net/Smart.php?id=asiatravel_twn
BBC Earth HD,http://wanjiatv.net/Smart.php?id=bbcearth_twn
BBC Earth Lifestyle,http://wanjiatv.net/Smart.php?id=bbclifestyle_twn
CI,http://wanjiatv.net/Smart.php?id=ci_twn
Discovery Asia,http://wanjiatv.net/Smart.php?id=discoverytwn_twn
Discovery HD,http://wanjiatv.net/Smart.php?id=discoveryhd_twn
Fashion TV,http://wanjiatv.net/Smart.php?id=fashiontv_twn
Foodnetwork Hd,http://wanjiatv.net/Smart.php?id=Foodnetwork_mega
HGTV,http://wanjiatv.net/Smart.php?id=HGTV
History,http://wanjiatv.net/Smart.php?id=History
MTV Live,http://wanjiatv.net/Smart.php?id=mtvhd_twn
NatGeo HD,http://wanjiatv.net/Smart.php?id=Natgeo
NatGeo Wild HD,http://wanjiatv.net/Smart.php?id=Natgeowild
NatGeo_Wild HD,http://wanjiatv.net/Smart.php?id=natgeowild_twn
Natgeo_HD,http://wanjiatv.net/Smart.php?id=natgeohd_twn
